TeacherID,I_LevelMathTaught_MC,I_YearsTeach_SC,I_CLFrequency_LK,I_WhatPreplanForCL_MC,I_PairCriteria_MC,I_CurrentContext_SC,I_PandemicAffectCL_SC,I_UseOfTutor_SC,I_Gender_SC,I_Country_SC,I_State_SC,I_Ethnicity_SC,FavS1_LK,EnterInfo_LK,SameDiffCriteria_SC,FavS2_LK,AutoPair_LK,WhenAutoPair_MC,FavS3_LK,Explain_LK,StuInfoYes_MC,StuInfoNo_MC,FavS4_LK,NotifyRisky_LK,HowRejectStu_SC,FavS5_LK,SystemReview_LK,SystemOverride_LK,FavS6_LK,InterveneUnproductive_LK,HowAIIntervene_MC,BehaviorNotifyYes_MC,BehaviorNotifyNo_MC,WhoPropose_MC,WhoDecide_MC,HowReward_MC,PublicPrivateReward_SC,FrequencyChangePartner_SC,KnowPartner_SC
1,"Middle school,High school",7-9 years,Usually (about 90% of the time),"I have a rough plan for how to form groups, which I then execute in class","Randomly,Who have a different level of knowledge,Who have a similar level of knowledge,Who are not yet familar with each other",Hybrid of online and in-person,Yes,"Yes, both in class and out-of-class time",Female,United States of America,South Carolina,White,Very likely,Probably yes,"Different criteria for each student (e.g. find a partner for Joe based on his level of knowledge mastery, and for Mia based on her personality)",Neither likely nor unlikely,Disagree,Never,Definitely yes,Agree,,,Probably yes,Agree,simply be paired with a different partner without further explanation. (e.g. “You proposed to work with Jay. You’ve been paired with Nia.”),Very likely,Agree,Somewhat agree,Definitely yes,Agree,"Notify teachers,Give students guidance or tips on how to better collaborate,Point out the specific unproductive behaviors to the students,Give a warning to the specific student who is not being productive,Separate the pair and pair each student with someone else",,,"Teacher,System",Teacher,"Verbal praise,Leader board",Depends,Every class,Yes
2,Middle school,7-9 years,Frequently (about 70% of the time),"I team-up students on-the-fly (i.e., in class, immediately before the collaborative activities happen),I have a rough plan for how to form groups, which I then execute in class","Randomly,Of the same gender,Of different gender,Who have a different level of knowledge,Who have a similar level of knowledge",Fully Online / Remote,Yes,"Other, please briefly specify",Female,United States of America,Minnesota,White,Neither likely nor unlikely,Neither likely nor unlikely,"Different criteria for each student (e.g. find a partner for Joe based on his level of knowledge mastery, and for Mia based on her personality)",Neither likely nor unlikely,Somewhat disagree,Never,Probably yes,Agree,"Which problem each student is working on,Overall error rate,Recent math errors","Past pairings,Friendships",Probably yes,Agree,simply be paired with a different partner without further explanation. (e.g. “You proposed to work with Jay. You’ve been paired with Nia.”),Probably no,Somewhat agree,Disagree,Neither likely nor unlikely,Somewhat agree,Notify teachers,,,"Teacher,Student,System",Teacher,Verbal praise,Privately,Other/ depends,Maybe
3,Middle school,4-6 years,Frequently (about 70% of the time),"I team-up students on-the-fly (i.e., in class, immediately before the collaborative activities happen),I let student choose teammates","Randomly,Who have a different level of knowledge,Who have a similar level of knowledge,Who sit closely to each other",Fully Online / Remote,Yes,"Yes, both in class and out-of-class time",Female,United States of America,South Carolina,White,Definitely yes,Very likely,"Different criteria for each student (e.g. find a partner for Joe based on his level of knowledge mastery, and for Mia based on her personality)",Probably yes,Agree,When you are helping other students,Probably yes,Strongly agree,"Which problem each student is working on,Overall error rate,Recent math errors,Math skill mastery","Gender,Past pairings,Students' personality,Friendships",Probably yes,Agree,be told that the teacher rejected their proposed pairing (e.g “The teacher thinks it’s better for you to be paired with Nia”),Probably yes,Agree,Somewhat agree,Probably yes,Strongly agree,"Notify teachers,Give students guidance or tips on how to better collaborate,Point out the specific unproductive behaviors to the students,Give a warning to the specific student who is not being productive,Separate the pair and pair each student with someone else","Are idle (the solver is not working or the helper is not responding),Use aggressive language,The helper directly tells the solver answers to a problem without explanation,The solver continues to struggle even with the helper's help",Socialize and chat frequently,"Teacher,Student",Teacher,"Verbal praise,Leader board,Virtual badges in software",Depends,Once a week,Yes
4,Middle school,4-6 years,Sometimes (about 50% of the time),"I team-up students on-the-fly (i.e., in class, immediately before the collaborative activities happen),I have a rough plan for how to form groups, which I then execute in class",Randomly,Fully Online / Remote,Yes,"Other, please briefly specify",Female,United States of America,Oregon,White,Probably no,Probably no,The same criterion for all students,Probably yes,Somewhat agree,"When you are helping other students,When you are off work",Very likely,Somewhat agree,"Past pairings,Which problem each student is working on,Math skill mastery","Friendships,Gender",Probably yes,Somewhat agree,simply be paired with a different partner without further explanation. (e.g. “You proposed to work with Jay. You’ve been paired with Nia.”),Probably yes,Somewhat agree,Somewhat disagree,Probably yes,Somewhat disagree,"Give students guidance or tips on how to better collaborate,Point out the specific unproductive behaviors to the students,Give a warning to the specific student who is not being productive,Separate the pair and let the students work individually","Socialize and chat frequently,Are idle (the solver is not working or the helper is not responding),Use aggressive language",The solver continues to struggle even with the helper's help,"Teacher,Student,System",Teacher,"Leader board,Virtual badges in software",Privately,Once a week,Maybe
5,"Elementary school,Middle school,High school",Over 10 years,Usually (about 90% of the time),"I team-up students on-the-fly (i.e., in class, immediately before the collaborative activities happen),I have a rough plan for how to form groups, which I then execute in class,I assign teams ahead of time (e.g., list the students in each team),I let student choose teammates,Other, please specify","Randomly,Who have a different level of knowledge,Who have a similar level of knowledge,Who sit closely to each other,Other, please specify","Other, please specify",Yes,"Other, please briefly specify",Female,United States of America,Kansas,White,Probably yes,Probably no,"Different criteria for each student (e.g. find a partner for Joe based on his level of knowledge mastery, and for Mia based on her personality)",Probably no,Disagree,Never,Definitely yes,Strongly agree,,,Very likely,Strongly agree,be told that the AI system and teacher together rejected their proposed pairing (e.g “The teacher and AI System both think it’s better for you to be paired with Nia”),Probably no,Somewhat agree,Disagree,Definitely yes,Strongly agree,"Notify teachers,Point out the specific unproductive behaviors to the students,Give a warning to the specific student who is not being productive","Use aggressive language,Other behavior (1),The helper directly tells the solver answers to a problem without explanation,Are idle (the solver is not working or the helper is not responding),Socialize and chat frequently,The solver continues to struggle even with the helper's help",,"Teacher,Student,System",Teacher,"Verbal praise,Leader board",Publicly,Once a week,Maybe
6,Middle school,Over 10 years,Frequently (about 70% of the time),"I team-up students on-the-fly (i.e., in class, immediately before the collaborative activities happen),I have a rough plan for how to form groups, which I then execute in class,I assign teams ahead of time (e.g., list the students in each team)","Randomly,Who have a different level of knowledge,Who have a similar level of knowledge,Who are not yet familar with each other,Other, please specify",Fully Online / Remote,Yes,"Yes, during class time",Female,United States of America,New Jersey,White,Very likely,Very unlikely,"Different criteria for each student (e.g. find a partner for Joe based on his level of knowledge mastery, and for Mia based on her personality)",Probably yes,Agree,"When you are helping other students,When you are off work",Definitely yes,Agree,"Math skill mastery,Which problem each student is working on,Overall error rate,Recent math errors","Friendships,Students' personality,Gender,Past pairings",Definitely yes,Agree,Other,Probably yes,Agree,Disagree,Probably no,Somewhat disagree,"Notify teachers,Give students guidance or tips on how to better collaborate,Point out the specific unproductive behaviors to the students,Give a warning to the specific student who is not being productive,Separate the pair and let the students work individually","Are idle (the solver is not working or the helper is not responding),Socialize and chat frequently,The solver continues to struggle even with the helper's help,Use aggressive language",The helper directly tells the solver answers to a problem without explanation,"Teacher,System",Teacher,"Verbal praise,Virtual badges in software",Depends,Every time they colaborate,No
7,"Elementary school,Middle school",Over 10 years,Sometimes (about 50% of the time),"Other, please specify",Who sit closely to each other,Fully Online / Remote,Yes,"Yes, during class time",Female,United States of America,California,White,Probably yes,Neither likely nor unlikely,"Different criteria for each student (e.g. find a partner for Joe based on his level of knowledge mastery, and for Mia based on her personality)",Very likely,Somewhat agree,"When you are helping other students,When you are off work",Definitely yes,Agree,"Which problem each student is working on,Students' personality,Past pairings,Overall error rate","Gender,Friendships,Math skill mastery,Recent math errors",Definitely yes,Agree,be told that the AI system and teacher together rejected their proposed pairing (e.g “The teacher and AI System both think it’s better for you to be paired with Nia”),Probably yes,Somewhat agree,Disagree,Definitely yes,Agree,"Notify teachers,Give students guidance or tips on how to better collaborate,Point out the specific unproductive behaviors to the students,Give a warning to the specific student who is not being productive,Separate the pair and let the students work individually,Separate the pair and pair each student with someone else","Use aggressive language,Are idle (the solver is not working or the helper is not responding),The solver continues to struggle even with the helper's help,The helper directly tells the solver answers to a problem without explanation",Socialize and chat frequently,"Teacher,Student,System",Teacher,"Extra credit,Verbal praise,Leader board,Virtual badges in software",Depends,Other/ depends,Maybe
8,Middle school,4-6 years,Frequently (about 70% of the time),"I team-up students on-the-fly (i.e., in class, immediately before the collaborative activities happen),I assign teams ahead of time (e.g., list the students in each team),I let student choose teammates","Randomly,Who have a different level of knowledge,Who have a similar level of knowledge,Who are friends with each other",Fully Online / Remote,Yes,"Yes, during class time",Female,United States of America,Tennessee,White,Probably no,Very unlikely,The same criterion for all students,Very unlikely,Disagree,Other (1),Definitely yes,Strongly agree,"Recent math errors,Past pairings","Which problem each student is working on,Overall error rate,Math skill mastery,Students' personality,Gender,Friendships",Definitely yes,Agree,be told that the AI system and teacher together rejected their proposed pairing (e.g “The teacher and AI System both think it’s better for you to be paired with Nia”),Definitely no,Strongly disagree,Strongly disagree,Probably yes,Somewhat agree,Notify teachers,"The solver continues to struggle even with the helper's help,The helper directly tells the solver answers to a problem without explanation,Use aggressive language,Are idle (the solver is not working or the helper is not responding),Socialize and chat frequently",,"Teacher,Student,System",Teacher,"Verbal praise,Virtual badges in software",Depends,Every class,Maybe
9,Middle school,4-6 years,Occasionally (about 30% of the time),"I assign teams ahead of time (e.g., list the students in each team)",Who have a different level of knowledge,Hybrid of online and in-person,Yes,"Yes, during class time",Male,United States of America,Florida,White,Neither likely nor unlikely,Probably yes,"Different criteria for each student (e.g. find a partner for Joe based on his level of knowledge mastery, and for Mia based on her personality)",Very unlikely,Neither agree nor disagree,When you are off work,Probably yes,Neither agree nor disagree,"Which problem each student is working on,Math skill mastery,Recent math errors,Overall error rate,Students' personality,Past pairings,Friendships,Gender",,Neither likely nor unlikely,Neither agree nor disagree,be told that the teacher rejected their proposed pairing (e.g “The teacher thinks it’s better for you to be paired with Nia”),Probably yes,Neither agree nor disagree,Neither agree nor disagree,Probably yes,Agree,Give students guidance or tips on how to better collaborate,"The helper directly tells the solver answers to a problem without explanation,Are idle (the solver is not working or the helper is not responding),Socialize and chat frequently,The solver continues to struggle even with the helper's help,Use aggressive language",,Teacher,Teacher,Extra credit,Publicly,Once a week,No
10,Middle school,Over 10 years,Always,"I have a rough plan for how to form groups, which I then execute in class,I assign teams ahead of time (e.g., list the students in each team)","Who have a different level of knowledge,Who have a similar level of knowledge",Fully Online / Remote,Yes,"Yes, both in class and out-of-class time",Female,United States of America,Illinois,White,Definitely yes,Definitely yes,"Different criteria for each student (e.g. find a partner for Joe based on his level of knowledge mastery, and for Mia based on her personality)",Very likely,Agree,"When you are helping other students,When you are off work",Very likely,Strongly agree,"Recent math errors,Math skill mastery,Friendships,Which problem each student is working on","Gender,Overall error rate,Students' personality,Past pairings",Definitely yes,Agree,Other,Probably yes,Agree,Neither agree nor disagree,Very likely,Agree,"Notify teachers,Give students guidance or tips on how to better collaborate,Give a warning to the specific student who is not being productive","The solver continues to struggle even with the helper's help,The helper directly tells the solver answers to a problem without explanation,Use aggressive language,Are idle (the solver is not working or the helper is not responding),Socialize and chat frequently",,"Teacher,Student,System",Teacher,"Leader board,Virtual badges in software",Depends,Once a week,Yes
